student_support_id,student_support_content_creator_id,student_support_is_hint,student_support_is_explanation,student_support_message_count,student_support_text_length,student_support_contains_video,student_support_contains_image,student_support_contains_link,student_support_color_use,student_support_font_use,student_support_text_size_use
1148418,436919,0,1,1,0,1,0,0,0,0,0
1148433,436919,0,1,1,6,1,0,0,0,0,0
1148494,436919,0,1,1,6,1,0,0,0,0,0
1148816,436919,0,1,1,6,1,0,0,0,0,0
1148817,436919,0,1,1,6,1,0,0,0,0,0
1148818,436919,0,1,1,6,1,0,0,0,0,0
1148819,436919,0,1,1,6,1,0,0,0,0,0
1148820,436919,0,1,1,6,1,0,0,0,0,0
1148999,436919,0,1,1,6,1,0,0,0,0,0
1149000,436919,0,1,1,6,1,0,0,0,0,0
1149001,436919,0,1,1,6,1,0,0,0,0,0
1149002,436919,0,1,1,6,1,0,0,0,0,0
1149003,436919,0,1,1,6,1,0,0,0,0,0
1149004,436919,0,1,1,6,1,0,0,0,0,0
1149062,436919,0,1,1,6,1,0,0,0,0,0
1149063,436919,0,1,1,6,1,0,0,0,0,0
1149065,436919,0,1,1,6,1,0,0,0,0,0
1149066,436919,0,1,1,6,1,0,0,0,0,0
1149067,436919,0,1,1,6,1,0,0,0,0,0
1149068,436919,0,1,1,6,1,0,0,0,0,0
1149069,436919,0,1,1,6,1,0,0,0,0,0
1149070,436919,0,1,1,6,1,0,0,0,0,0
1149285,436919,0,1,1,6,1,0,0,0,0,0
1149286,436919,0,1,1,6,1,0,0,0,0,0
1149287,436919,0,1,1,6,1,0,0,0,0,0
1149288,436919,0,1,1,6,1,0,0,0,0,0
1149289,436919,0,1,1,6,1,0,0,0,0,0
1149290,436919,0,1,1,6,1,0,0,0,0,0
1149291,436919,0,1,1,6,1,0,0,0,0,0
1149292,436919,0,1,1,6,1,0,0,0,0,0
1149318,436919,0,1,1,6,1,0,0,0,0,0
1149319,436919,0,1,1,6,1,0,0,0,0,0
1149320,436919,0,1,1,6,1,0,0,0,0,0
1149321,436919,0,1,1,6,1,0,0,0,0,0
1149322,436919,0,1,1,6,1,0,0,0,0,0
